first_name,last_name,gender,matriculation_year,matriculation_number,student_id,college,class_of,level,level_for_sorting
Veronica,Wilkerson,F,2020,1,2020-1,STM,2024,Freshman,0
Michele,Jones,F,2020,2,2020-2,STC,2024,Freshman,0
Sheri,Jennings,F,2020,3,2020-3,STB,2024,Freshman,0
Frances,Bright,F,2020,4,2020-4,STB,2024,Freshman,0
Sarah,Calhoun,F,2020,5,2020-5,STB,2024,Freshman,0
Alicia,Hendricks,F,2020,6,2020-6,STL,2024,Freshman,0
Brittany,Baker,F,2020,7,2020-7,STB,2024,Freshman,0
Connie,Brown,F,2020,8,2020-8,STC,2024,Freshman,0
Jennifer,Harris,F,2020,9,2020-9,STM,2024,Freshman,0
Shannon,Green,F,2020,10,2020-10,STM,2024,Freshman,0
Wanda,Smith,F,2020,11,2020-11,STC,2024,Freshman,0
Brenda,Horton,F,2020,12,2020-12,STL,2024,Freshman,0
Tracy,Reynolds,F,2020,13,2020-13,STM,2024,Freshman,0
Dana,Andrews,F,2020,14,2020-14,STC,2024,Freshman,0
Melissa,Thomas,F,2020,15,2020-15,STM,2024,Freshman,0
Angela,Smith,F,2020,16,2020-16,STM,2024,Freshman,0
Amanda,Thompson,F,2020,17,2020-17,STM,2024,Freshman,0
Katie,Harrell,F,2020,18,2020-18,STL,2024,Freshman,0
Julie,Kelly,F,2020,19,2020-19,STC,2024,Freshman,0
Kathleen,Payne,F,2020,20,2020-20,STC,2024,Freshman,0
Melissa,Hudson,F,2020,21,2020-21,STM,2024,Freshman,0
Kelsey,Mckee,F,2020,22,2020-22,STL,2024,Freshman,0
Stefanie,Diaz,F,2020,23,2020-23,STB,2024,Freshman,0
Tracy,Perkins,F,2020,24,2020-24,STL,2024,Freshman,0
Victoria,Jordan,F,2020,25,2020-25,STL,2024,Freshman,0
Anne,Wheeler,F,2020,26,2020-26,STL,2024,Freshman,0
Rita,Perry,F,2020,27,2020-27,STB,2024,Freshman,0
Kimberly,Mora,F,2020,28,2020-28,STM,2024,Freshman,0
Courtney,Chavez,F,2020,29,2020-29,STB,2024,Freshman,0
Evelyn,Stephens,F,2020,30,2020-30,STM,2024,Freshman,0
Debbie,Reid,F,2020,31,2020-31,STC,2024,Freshman,0
Tiffany,Bailey,F,2020,32,2020-32,STM,2024,Freshman,0
Gloria,Bell,F,2020,33,2020-33,STC,2024,Freshman,0
Rachel,Cooley,F,2020,34,2020-34,STM,2024,Freshman,0
Michelle,Robinson,F,2020,35,2020-35,STB,2024,Freshman,0
Shannon,Mclaughlin,F,2020,36,2020-36,STM,2024,Freshman,0
Jillian,Larsen,F,2020,37,2020-37,STC,2024,Freshman,0
Cheryl,Gomez,F,2020,38,2020-38,STM,2024,Freshman,0
Heather,Williams,F,2020,39,2020-39,STM,2024,Freshman,0
Amy,Rogers,F,2020,40,2020-40,STC,2024,Freshman,0
Alexis,Clark,F,2020,41,2020-41,STC,2024,Freshman,0
Samantha,Clark,F,2020,42,2020-42,STM,2024,Freshman,0
Jeanette,Walter,F,2020,43,2020-43,STL,2024,Freshman,0
Erin,House,F,2020,44,2020-44,STM,2024,Freshman,0
Melissa,Mitchell,F,2020,45,2020-45,STL,2024,Freshman,0
Kathryn,Patterson,F,2020,46,2020-46,STM,2024,Freshman,0
Gwendolyn,Briggs,F,2020,47,2020-47,STC,2024,Freshman,0
Victoria,Mccormick,F,2020,48,2020-48,STC,2024,Freshman,0
Patricia,Moore,F,2020,49,2020-49,STB,2024,Freshman,0
Courtney,Johnson,F,2020,50,2020-50,STL,2024,Freshman,0
Andrea,Sanders,F,2020,51,2020-51,STM,2024,Freshman,0
Lori,Green,F,2020,52,2020-52,STM,2024,Freshman,0
Dana,Williams,F,2020,53,2020-53,STB,2024,Freshman,0
Lori,Wilson,F,2020,54,2020-54,STM,2024,Freshman,0
Elizabeth,Anderson,F,2020,55,2020-55,STM,2024,Freshman,0
Natasha,Walsh,F,2020,56,2020-56,STM,2024,Freshman,0
Valerie,Nguyen,F,2020,57,2020-57,STC,2024,Freshman,0
Caroline,Calderon,F,2020,58,2020-58,STC,2024,Freshman,0
Melinda,Craig,F,2020,59,2020-59,STC,2024,Freshman,0
Gloria,Thompson,F,2020,60,2020-60,STM,2024,Freshman,0
Jane,Russell,F,2020,61,2020-61,STM,2024,Freshman,0
Tamara,Hernandez,F,2020,62,2020-62,STL,2024,Freshman,0
Sheila,Lee,F,2020,63,2020-63,STC,2024,Freshman,0
Stacey,Rodriguez,F,2020,64,2020-64,STC,2024,Freshman,0
Brittany,Contreras,F,2020,65,2020-65,STL,2024,Freshman,0
Tiffany,Velez,F,2020,66,2020-66,STC,2024,Freshman,0
Tammy,Buck,F,2020,67,2020-67,STB,2024,Freshman,0
Amber,Anderson,F,2020,68,2020-68,STB,2024,Freshman,0
Kimberly,Dean,F,2020,69,2020-69,STC,2024,Freshman,0
Ellen,Martinez,F,2020,70,2020-70,STC,2024,Freshman,0
Angela,Little,F,2020,71,2020-71,STL,2024,Freshman,0
Nancy,Gregory,F,2020,72,2020-72,STM,2024,Freshman,0
Anna,Ramirez,F,2020,73,2020-73,STM,2024,Freshman,0
Christina,Castillo,F,2020,74,2020-74,STC,2024,Freshman,0
Candace,Mosley,F,2020,75,2020-75,STC,2024,Freshman,0
Lisa,Hines,F,2020,76,2020-76,STB,2024,Freshman,0
Ann,Villa,F,2020,77,2020-77,STM,2024,Freshman,0
Jacqueline,Hall,F,2020,78,2020-78,STL,2024,Freshman,0
Victoria,Ryan,F,2020,79,2020-79,STM,2024,Freshman,0
Darlene,Johnston,F,2020,80,2020-80,STC,2024,Freshman,0
Patricia,Newman,F,2020,81,2020-81,STM,2024,Freshman,0
Yolanda,Shah,F,2020,82,2020-82,STM,2024,Freshman,0
Sarah,Davis,F,2020,83,2020-83,STC,2024,Freshman,0
Hannah,Hayes,F,2020,84,2020-84,STC,2024,Freshman,0
Laura,Carroll,F,2020,85,2020-85,STC,2024,Freshman,0
Kelly,White,F,2020,86,2020-86,STB,2024,Freshman,0
Jessica,Valenzuela,F,2020,87,2020-87,STM,2024,Freshman,0
Chelsea,Anderson,F,2020,88,2020-88,STM,2024,Freshman,0
Elizabeth,Day,F,2020,89,2020-89,STC,2024,Freshman,0
Kristi,Logan,F,2020,90,2020-90,STC,2024,Freshman,0
Diana,Sanchez,F,2020,91,2020-91,STM,2024,Freshman,0
Angela,Day,F,2020,92,2020-92,STL,2024,Freshman,0
Tiffany,Hernandez,F,2020,93,2020-93,STC,2024,Freshman,0
Sally,Morris,F,2020,94,2020-94,STM,2024,Freshman,0
Teresa,King,F,2020,95,2020-95,STC,2024,Freshman,0
Brittany,Larsen,F,2020,96,2020-96,STB,2024,Freshman,0
Erin,Hensley,F,2020,97,2020-97,STM,2024,Freshman,0
Nicole,Hardy,F,2020,98,2020-98,STM,2024,Freshman,0
Jennifer,Williams,F,2020,99,2020-99,STM,2024,Freshman,0
Leslie,Nelson,F,2020,100,2020-100,STB,2024,Freshman,0
Jamie,Smith,F,2020,101,2020-101,STC,2024,Freshman,0
Marissa,Mcbride,F,2020,102,2020-102,STB,2024,Freshman,0
Cassandra,May,F,2020,103,2020-103,STM,2024,Freshman,0
Loretta,Barrett,F,2020,104,2020-104,STM,2024,Freshman,0
Allison,Foster,F,2020,105,2020-105,STM,2024,Freshman,0
Angela,Morrow,F,2020,106,2020-106,STL,2024,Freshman,0
Jacqueline,Curry,F,2020,107,2020-107,STM,2024,Freshman,0
Julia,Peterson,F,2020,108,2020-108,STL,2024,Freshman,0
Jordan,Moreno,F,2020,109,2020-109,STC,2024,Freshman,0
Carol,Vazquez,F,2020,110,2020-110,STL,2024,Freshman,0
Jessica,Hall,F,2020,111,2020-111,STM,2024,Freshman,0
Kimberly,Washington,F,2020,112,2020-112,STC,2024,Freshman,0
Monica,Copeland,F,2020,113,2020-113,STC,2024,Freshman,0
Ashlee,Stanley,F,2020,114,2020-114,STB,2024,Freshman,0
Sheila,Anderson,F,2020,115,2020-115,STC,2024,Freshman,0
Betty,Mendez,F,2020,116,2020-116,STL,2024,Freshman,0
Jill,Perry,F,2020,117,2020-117,STB,2024,Freshman,0
Kelly,Smith,F,2020,118,2020-118,STL,2024,Freshman,0
Valerie,Lewis,F,2020,119,2020-119,STM,2024,Freshman,0
Tonya,Harris,F,2020,120,2020-120,STM,2024,Freshman,0
Kimberly,Rodriguez,F,2020,121,2020-121,STL,2024,Freshman,0
Latoya,Richardson,F,2020,122,2020-122,STC,2024,Freshman,0
Michelle,Cardenas,F,2020,123,2020-123,STM,2024,Freshman,0
Joyce,Meyer,F,2020,124,2020-124,STM,2024,Freshman,0
Erica,Johnson,F,2020,125,2020-125,STL,2024,Freshman,0
Beth,Clark,F,2020,126,2020-126,STM,2024,Freshman,0
Bailey,Vega,F,2020,127,2020-127,STM,2024,Freshman,0
Taylor,Edwards,F,2020,128,2020-128,STM,2024,Freshman,0
Stephanie,Jordan,F,2020,129,2020-129,STM,2024,Freshman,0
Ashley,Shaffer,F,2020,130,2020-130,STB,2024,Freshman,0
Shelby,Meyer,F,2020,131,2020-131,STB,2024,Freshman,0
